"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Progression Model of Software Engineering Goals, Challenges, and Practices in Start-Ups","E. Klotins; M. Unterkalmsteiner; P. Chatzipetrou; T. Gorschek; R. Prikladnicki; N. Tripathi; L. B. Pompermaier","Software Engineering Research Lab Sweden, Blekinge Institute of Technology, Karlskrona, Sweden; Software Engineering Research Lab Sweden, Blekinge Institute of Technology, Karlskrona, Sweden; Department of Informatics, CERIS, Örebro University School of Business, Örebro, Sweden; Software Engineering Research Lab Sweden, Blekinge Institute of Technology, Karlskrona, Sweden; Software Engineering Research Lab, Blekinge Institute of Technology, Karlskrona, Sweden; M3S Research Unit, University of Oulu, Oulu, Finland; School of Technology, Pontifical Catholic University of Rio Grande do Sul, Porto Alegre, Brazil","IEEE Transactions on Software Engineering","15 Mar 2021","2021","47","3","498","521","Context: Software start-ups are emerging as suppliers of innovation and software-intensive products. However, traditional software engineering practices are not evaluated in the context, nor adopted to goals and challenges of start-ups. As a result, there is insufficient support for software engineering in the start-up context. Objective: We aim to collect data related to engineering goals, challenges, and practices in start-up companies to ascertain trends and patterns characterizing engineering work in start-ups. Such data allows researchers to understand better how goals and challenges are related to practices. This understanding can then inform future studies aimed at designing solutions addressing those goals and challenges. Besides, these trends and patterns can be useful for practitioners to make more informed decisions in their engineering practice. Method: We use a case survey method to gather first-hand, in-depth experiences from a large sample of software start-ups. We use open coding and cross-case analysis to describe and identify patterns, and corroborate the findings with statistical analysis. Results: We analyze 84 start-up cases and identify 16 goals, 9 challenges, and 16 engineering practices that are common among start-ups. We have mapped these goals, challenges, and practices to start-up life-cycle stages (inception, stabilization, growth, and maturity). Thus, creating the progression model guiding software engineering efforts in start-ups. Conclusions: We conclude that start-ups to a large extent face the same challenges and use the same practices as established companies. However, the primary software engineering challenge in start-ups is to evolve multiple process areas at once, with a little margin for serious errors.","1939-3520","","10.1109/TSE.2019.2900213","CNpq and FAPERGS; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8643804","Software start-up;software engineering practices;progression model","Software;Software engineering;Companies;Market opportunities;Requirements engineering;Analytical models","innovation management;organisational aspects;project management;software development management;software engineering;statistical analysis","start-up cases;primary software engineering challenge;software engineering efforts;engineering practices;start-up companies;traditional software engineering practices;software start-ups;software engineering goals","","1","","96","IEEE","17 Feb 2019","","","IEEE","IEEE Journals"
"A Comparison of Natural Language Understanding Platforms for Chatbots in Software Engineering","A. Abdellatif; K. Badran; D. Costa; E. Shihab","Software Engineering, Concordia University, 5618 Montreal, Quebec, Canada, (e-mail: ahmad.abdellatif87@gmail.com); Department of Computer Science and Software Engineering, Concordia University, 5618 Montreal, Quebec, Canada, (e-mail: badrankhaled97@gmail.com); Department of Computer Science and Software Engineering, Concordia University, 5618 Montreal, Quebec, Canada, (e-mail: diegoelias1@gmail.com); Computer Science and Software Engineering, Concordia University, Montreal, Quebec, Canada, H3G 1M8 (e-mail: emadshihab@gmail.com)","IEEE Transactions on Software Engineering","","2021","PP","99","1","1","Chatbots are envisioned to dramatically change the future of Software Engineering, allowing practitioners to chat and inquire about their software projects and interact with different services using natural language. At the heart of every chatbot is a Natural Language Understanding (NLU) component that enables the chatbot to understand natural language input. Recently, many NLU platforms were provided to serve as an off-the-shelf NLU component for chatbots, however, selecting the best NLU for Software Engineering chatbots remains an open challenge. Therefore, in this paper, we evaluate four of the most commonly used NLUs, namely IBM Watson, Google Dialogflow, Rasa, and Microsoft LUIS to shed light on which NLU should be used in Software Engineering based chatbots. Specifically, we examine the NLUs' performance in classifying intents, confidence scores stability, and extracting entities. To evaluate the NLUs, we use two datasets that reflect two common tasks performed by Software Engineering practitioners, 1) the task of chatting with the chatbot to ask questions about software repositories 2) the task of asking development questions on Q&A forums (e.g., Stack Overflow). According to our findings, IBM Watson is the best performing NLU when considering the three aspects (intents classification, confidence scores, and entity extraction). However, the results from each individual aspect show that, in intents classification, IBM Watson performs the best with an F1-measure>84%, but in confidence scores, Rasa comes on top with a median confidence score higher than 0.91. Our results also show that all NLUs, except for Dialogflow, generally provide trustable confidence scores. For entity extraction, Microsoft LUIS and IBM Watson outperform other NLUs in the two SE tasks. Our results provide guidance to software engineering practitioners when deciding which NLU to use in their chatbots.","1939-3520","","10.1109/TSE.2021.3078384","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426404","Software Chatbots;Natural Language Understanding Platforms;Empirical Software Engineering","Chatbot;Task analysis;Software engineering;Software;Feature extraction;XML;Java","","","","","","","IEEE","7 May 2021","","","IEEE","IEEE Early Access Articles"
"A Method to Assess and Argue for Practical Significance in Software Engineering","R. Torkar; C. A. Furia; R. Feldt; F. Gomes de Oliveira Neto; L. Gren; P. Lenberg; N. A. Ernst","Software Engineering, University of Gothenburg, 3570 Goteborg, n7a, Sweden, (e-mail: richard.torkar@cse.gu.se); Informatics, USI, 27216 Lugano, Ticino, Switzerland, 6900 (e-mail: furiac@usi.ch); Software Engineering division, Chalmers University of Technology Department of Computer Science and Engineering, 541960 Goteborg, V'stra Gtaland, Sweden, (e-mail: robert.feldt@chalmers.se); Software Engineering, University of Gothenburg, 3570 Goteborg, n/a, Sweden, (e-mail: gomesf@chalmers.se); Software Engineering, Computer Science and Engineering, Gothenburg, Gothenburg, Sweden, SE-412 96 (e-mail: lucas.gren@cse.gu.se); Department of Computer Science of Engineering, Chalmers University, Gothenburg, V'stra Gtaland, Sweden, 42163 (e-mail: perle@chalmers.se); Computer Science, University of Victoria, 8205 Victoria, British Columbia, Canada, (e-mail: nernst@uvic.ca)","IEEE Transactions on Software Engineering","","2021","PP","99","1","1","A key goal of empirical research in software engineering is to assess practical significance, which answers whether the observed effects of some compared treatments show a relevant difference in practice in realistic scenarios. Even though plenty of standard techniques exist to assess statistical significance, connecting it to practical significance is not straightforward or routinely done; indeed, only a few empirical studies in software engineering assess practical significance in a principled and systematic way. In this paper, we argue that Bayesian data analysis provides suitable tools to assess practical significance rigorously. We demonstrate our claims in a case study comparing different test techniques. The case study's data was previously analyzed (Afzal et al., 2015) using standard techniques focusing on statistical significance. Here, we build a multilevel model of the same data, which we fit and validate using Bayesian techniques. Our method is to apply cumulative prospect theory on top of the statistical model to quantitatively connect our statistical analysis output to a practically meaningful context. This is then the basis both for assessing and arguing for practical significance. Our study demonstrates that Bayesian analysis provides a technically rigorous yet practical framework for empirical software engineering. A substantial side effect is that any uncertainty in the underlying data will be propagated through the statistical model, and its effects on practical significance are made clear. Thus, in combination with cumulative prospect theory, Bayesian analysis supports seamlessly assessing practical significance in an empirical software engineering context, thus potentially clarifying and extending the relevance of research for practitioners.","1939-3520","","10.1109/TSE.2020.3048991","Marianne and Marcus Wallenberg Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314270","practical significance;statistical significance;Bayesian analysis;empirical software engineering","Bayes methods;Data models;Software engineering;Statistical analysis;Analytical models;Testing;Decision making","","","","","","","CCBY","5 Jan 2021","","","IEEE","IEEE Early Access Articles"
"Software Engineering for Machine-Learning Applications: The Road Ahead","F. Khomh; B. Adams; J. Cheng; M. Fokaefs; G. Antoniol",Polytechnique Montréal; Polytechnique Montréal; Polytechnique Montréal; Polytechnique Montréal; Polytechnique Montréal,"IEEE Software","27 Sep 2018","2018","35","5","81","84","The First Symposium on Software Engineering for Machine Learning Applications (SEMLA) aimed to create a space in which machine learning (ML) and software engineering (SE) experts could come together to discuss challenges, new insights, and practical ideas regarding the engineering of ML and AI-based systems. Key challenges discussed included the accuracy of systems built using ML and AI models, the testing of those systems, industrial applications of AI, and the rift between the ML and SE communities. This article is part of a theme issue on software engineering's 50th anniversary.","1937-4194","","10.1109/MS.2018.3571224","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8474484","First Symposium on Software Engineering for Machine Learning Applications;SEMLA;machine learning;artificial intelligence;AI;software engineering;SE;software development;Invited Content","Learning systems;Software engineering;Software systems;Software development;Machine learning;Artificial intelligence","artificial intelligence;learning (artificial intelligence);software engineering","AI-based systems;ML model;software engineering for machine learning applications;SEMLA;industrial applications","","7","","0","","27 Sep 2018","","","IEEE","IEEE Magazines"
"Yesterday, Today, and Tomorrow: 50 Years of Software Engineering","M. Broy",Technische Universität München and Zentrum Digitalisierung.Bayern,"IEEE Software","27 Sep 2018","2018","35","5","38","43","In 2018, we're now 50 years after the famous groundbreaking conference on software engineering in Garmisch, organized by its chairman F.L. Bauer and his cochairs L. Bolliet and H.J. Helms. This conference introduced the notion and discipline of software engineering. This is a moment to look back at what we've achieved, what we haven't achieved, where we are today, and what challenges lie ahead. This article is part of a theme issue on software engineering's 50th anniversary.","1937-4194","","10.1109/MS.2018.290111138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8409912","software engineering;software development;history of software engineering","Software engineering;Programming;Computer architecture;Computer languages;Software systems","software engineering","software engineering;software crisis;computer hardware;software production","","","","11","","11 Jul 2018","","","IEEE","IEEE Magazines"
"Closing the Gap Between Software Engineering Education and Industrial Needs","V. Garousi; G. Giray; E. Tuzun; C. Catal; M. Felderer","Software Engineering, Queen’s University Belfast, United Kingdom; NA; Bilkent University, Ankara, Turkey; Wageningen University; University of Innsbruck, Austria","IEEE Software","12 Feb 2020","2020","37","2","68","77","Many recent software engineering graduates often face difficulties when beginning their professional careers, due to misalignment of the skills learned in their university education with what is needed in industry. In this article, we report a literature review of the studies that have been done to make improvements on this issue.","1937-4194","","10.1109/MS.2018.2880823","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8664487","Software engineering education;industry needs;important skills;knowledge gap;software engineering curriculum","Software engineering;Computer science education;Software engineering;Education courses;Knowledge engineering;Computer science;Information systems","computer science education;educational courses;educational institutions;engineering education;software engineering","university education;software engineering education;software engineering graduates;professional careers;industrial needs","","2","","14","","10 Mar 2019","","","IEEE","IEEE Magazines"
"Software Engineering’s Top Topics, Trends, and Researchers","G. Mathew; T. Menzies",North Carolina State University; North Carolina State University,"IEEE Software","27 Sep 2018","2018","35","5","88","93","For this theme issue on the 50th anniversary of software engineering (SE), Redirections offers an overview of the twists, turns, and numerous redirections seen over the years in the SE research literature. Nearly a dozen topics have dominated the past few decades of SE research-and these have been redirected many times. Some are gaining popularity, whereas others are becoming increasingly rare. This article is part of a theme issue on software engineering's 50th anniversary.","1937-4194","","10.1109/MS.2018.3571230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8474491","latent Dirichlet allocation;text mining;software engineering research;software engineering;software development;redirections","Text mining;Object oriented modeling;Market research;Software measurement;Software engineering","research and development;software engineering","SE research literature;software engineering","","1","","11","","27 Sep 2018","","","IEEE","IEEE Magazines"
"Half a Century of Software Engineering Education: The CMU Exemplar","N. R. Mead; D. Garlan; M. Shaw",Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University,"IEEE Software","27 Sep 2018","2018","35","5","25","31","From the aspirational title of the 1968 NATO conference, software engineering has evolved to a well-defined engineering discipline with strong educational underpinnings. The supporting educational foundation has grown from a few courses in programming languages and data structures, evolving through structured programming, correctness formalisms, and state machine abstractions to full curricula and degree programs. With this context in mind, the authors discuss the evolution of software engineering education and pedagogy, software engineering principles, and future needs, drawing specifically on their experience at Carnegie Mellon University. Reflecting on the software development profession today, they believe that formal software engineering education is needed at least as much as it was in earlier decades. However, it must address the increasing diversity of the developer community, and it must be an education based on the enduring principles that will last a lifetime. This article is part of a theme issue on software engineering's 50th anniversary.","1937-4194","","10.1109/MS.2018.290110743","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8409913","software engineering education;software engineering history;software engineering practice;Carnegie Mellon University;Software Engineering Institute;software development;software engineering","Software engineering;History;Technology forecasting;Computer science","computer science education;data structures;educational courses;educational institutions;software engineering","degree programs;formal software engineering education;educational foundation;CMU exemplar;data structure;state machine abstraction;Carnegie Mellon University;programming languages course","","1","","16","","11 Jul 2018","","","IEEE","IEEE Magazines"
"Software Engineering Research and Industry: A Symbiotic Relationship to Foster Impact","V. Basili; L. Briand; D. Bianculli; S. Nejati; F. Pastore; M. Sabetzadeh","University of Maryland, College Park; University of Luxembourg; University of Luxembourg; University of Luxembourg; University of Luxembourg; University of Luxembourg","IEEE Software","27 Sep 2018","2018","35","5","44","49","Software engineering is not only an increasingly challenging endeavor that goes beyond the intellectual capabilities of any single individual engineer but also an intensely human one. Tools and methods to develop software are employed by engineers of varied backgrounds within a large variety of organizations and application domains. As a result, the variation in challenges and practices in system requirements, architecture, and quality assurance is staggering. Human, domain, and organizational factors define the context within which software engineering methodologies and technologies are to be applied and therefore the context that research needs to account for, if it is to be impactful. This article provides an assessment of the current challenges faced by software engineering research in achieving its potential, a description of the root causes of such challenges, and a proposal for the field to move forward and become more impactful through collaborative research and innovation between public research and industry. This article is part of a theme issue on software engineering's 50th anniversary.","1937-4194","","10.1109/MS.2018.290110216","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8409904","software engineering research;empirical software engineering;collaborative research;context-driven research;software engineering;software development","Software engineering;Collaboration;Software development;Context modeling","DP industry;innovation management;organisational aspects;quality assurance;software engineering","software engineering methodologies;collaborative research;quality assurance;organizational factors;software engineering technologies;innovation;system requirements;software engineering industry","","1","","8","","11 Jul 2018","","","IEEE","IEEE Magazines"
"Software Engineering for Internet of Things","M. Fahmideh; A. A. Abbasi; A. Behnaz; J. Grundy; W. Susilo","UTS, University of Technology Sydney Faculty of Engineering and Information Technology, 120558 Sydney, New South Wales, Australia, 2007 (e-mail: mehdi.fahmideh@gmail.com); Computer Science and Engineering, University of Hail, 48138 Hail, Hail, Saudi Arabia, (e-mail: ahmad.aakash@gmail.com); Computer science, University of New South Wales, 7800 Sydney, New South Wales, Australia, (e-mail: ali.behnaz@unsw.edu.au); Faculty of IT, Monash University, Clayton, Victoria, Australia, 3800 (e-mail: john.grundy@monash.edu); School of Computing and IT, University of Wollongong, 8691 Wollongong, New South Wales, Australia, 2522 (e-mail: wsusilo@uow.edu.au)","IEEE Transactions on Software Engineering","","2021","PP","99","1","1","Internet of Things based systems (IoT systems for short) are becoming increasingly popular across different industrial domains and their development is rapidly increasing to provide value-added services to end-users and citizens. Little research to date uncovers the core development process lifecycle needed for IoT systems, and thus software engineers find themselves unprepared and unfamiliar with this new genre of system development. To ameliorate this gap, we conducted a mixed quantitative and qualitative research study where we derived a conceptual process framework from the extant literature on IoT, through which 27 key tasks for incorporation into the development processes of IoT systems were identified. The framework was then validated by means of a survey of 127 IoT practitioners from 35 countries across 6 continents with 15 different industry backgrounds. Our research provides an understanding of the most important development process tasks and informs both software engineering practitioners and researchers of the challenges and recommendations related to the development of next-generation of IoT systems.","1939-3520","","10.1109/TSE.2021.3070692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9398558","software engineering;software management;software development process;empirical software engineering;Internet of Things (IoT)","Software engineering;Task analysis;Software;Internet of Things;Systematics;Information technology;Hardware","","","","","","","IEEE","7 Apr 2021","","","IEEE","IEEE Early Access Articles"
